:START_ID,:END_ID,:TYPE
Q31,1,P2924
Q31,Q1088364,P1344
Q31,2,P1082
Q31,3,P1667
Q31,Q3247091,P1151
Q31,4,P3348
Q31,5,P1333
Q31,Q1308013,P1546
Q31,Q7112200,P5125
Q31,6,P349
Q31,Q4916,P38
Q31,7,P3365
Q31,8,P3221
Q31,9,P2581
Q31,10,P1566
Q31,11,P227
Q31,12,P487
Q31,Q7021332,P1792
Q31,Q1061257,P2852
Q31,Q25648793,P2852
Q31,Q25648794,P2852
Q31,Q25648798,P2852
Q31,13,P3916
Q31,Q1378312,P2853
Q31,Q2335536,P2853
Q31,14,P395
Q31,15,P3238
Q31,16,P1335
Q31,Q1115035,P2633
Q31,17,P298
Q31,18,P1448
Q31,19,P1448
Q31,20,P1448
Q31,21,P1448
Q31,Q213107,P1313
Q31,22,P3417
Q31,23,P3417
Q31,24,P3529
Q31,Q128267,P417
Q31,25,P998
Q31,Q31,P17
Q31,26,P486
Q31,Q25929919,P2959
Q31,Q42311082,P2959
Q31,Q52884026,P2959
Q31,27,P3106
Q31,Q41614,P122
Q31,Q3330103,P122
Q31,28,P982
Q31,Q3174312,P1552
Q31,29,P94
Q31,30,P94
Q31,31,P94
Q31,32,P94
Q31,33,P2981
Q31,34,P2573
Q31,35,P3422
Q31,Q223933,P793
Q31,Q1160895,P793
Q31,Q32,P530
Q31,Q38,P530
Q31,Q183,P530
Q31,Q347,P530
Q31,Q408,P530
Q31,Q212,P530
Q31,Q1246,P530
Q31,Q142,P530
Q31,Q145,P530
Q31,Q16,P530
Q31,Q252,P530
Q31,Q35,P530
Q31,Q43,P530
Q31,Q55,P530
Q31,Q77,P530
Q31,Q833,P530
Q31,Q843,P530
Q31,Q865,P530
Q31,Q96,P530
Q31,Q974,P530
Q31,Q30,P530
Q31,Q159,P530
Q31,Q668,P530
Q31,Q41,P530
Q31,Q148,P530
Q31,Q230,P530
Q31,Q801,P530
Q31,Q29999,P530
Q31,Q28,P530
Q31,Q423,P530
Q31,36,P571
Q31,Q13592862,P1906
Q31,37,P935
Q31,Q1137059,P194
Q31,38,P214
Q31,39,P5180
Q31,40,P605
Q31,Q205317,P2184
Q31,41,P4613
Q31,42,P3911
Q31,Q7411,P37
Q31,Q150,P37
Q31,Q188,P37
Q31,43,P3984
Q31,Q46,P30
Q31,Q239,P36
Q31,44,P856
Q31,45,P856
Q31,46,P856
Q31,47,P856
Q31,Q199614,P237
Q31,48,P3271
Q31,49,P1549
Q31,50,P1549
Q31,51,P1549
Q31,52,P1549
Q31,53,P1549
Q31,54,P1549
Q31,55,P1549
Q31,56,P1549
Q31,57,P1549
Q31,58,P1549
Q31,59,P1549
Q31,60,P1549
Q31,61,P1549
Q31,62,P1549
Q31,63,P1549
Q31,64,P1549
Q31,65,P1549
Q31,66,P1549
Q31,67,P1549
Q31,68,P1549
Q31,69,P1549
Q31,70,P1549
Q31,71,P1549
Q31,72,P1549
Q31,73,P1549
Q31,74,P1549
Q31,75,P1549
Q31,76,P1549
Q31,77,P1549
Q31,78,P1549
Q31,79,P1549
Q31,80,P1549
Q31,81,P1549
Q31,82,P1549
Q31,83,P1549
Q31,84,P1549
Q31,85,P1549
Q31,86,P1549
Q31,87,P1549
Q31,88,P1549
Q31,89,P1549
Q31,90,P1549
Q31,91,P1549
Q31,92,P1549
Q31,93,P3896
Q31,94,P949
Q31,95,P402
Q31,96,P4725
Q31,97,P3068
Q31,98,P1332
Q31,99,P1334
Q31,100,P691
Q31,101,P906
Q31,102,P3241
Q31,103,P2258
Q31,104,P4841
Q31,105,P2979
Q31,106,P1225
Q31,107,P5198
Q31,108,P3270
Q31,109,P1315
Q31,110,P3001
Q31,111,P3001
Q31,112,P3001
Q31,113,P3000
Q31,Q4366768,P910
Q31,114,P3612
Q31,Q155004,P35
Q31,115,P268
Q31,Q7974978,P1791
Q31,116,P242
Q31,117,P242
Q31,118,P1617
Q31,119,P2997
Q31,120,P1036
Q31,121,P1081
Q31,Q54439832,P5008
Q31,122,P3743
Q31,Q476596,P6
Q31,123,P984
Q31,Q458,P463
Q31,Q1065,P463
Q31,Q7184,P463
Q31,Q41550,P463
Q31,Q8908,P463
Q31,Q13116,P463
Q31,Q42262,P463
Q31,Q7825,P463
Q31,Q141720,P463
Q31,Q1542735,P463
Q31,Q152299,P463
Q31,Q151991,P463
Q31,Q81299,P463
Q31,Q191384,P463
Q31,Q827525,P463
Q31,Q656801,P463
Q31,Q1043527,P463
Q31,Q899770,P463
Q31,Q340195,P463
Q31,Q188822,P463
Q31,Q782942,P463
Q31,Q161549,P463
Q31,Q1377612,P463
Q31,Q663492,P463
Q31,Q1928989,P463
Q31,Q1072120,P463
Q31,Q8475,P463
Q31,Q1480793,P463
Q31,Q842490,P463
Q31,Q3866537,P463
Q31,Q521227,P463
Q31,Q233611,P463
Q31,Q826700,P463
Q31,Q7809,P463
Q31,Q5611262,P463
Q31,Q17495,P463
Q31,Q376150,P463
Q31,Q1969730,P463
Q31,Q1531570,P463
Q31,Q134102,P463
Q31,Q45177,P463
Q31,Q170424,P463
Q31,Q7817,P463
Q31,124,P2163
Q31,125,P4342
Q31,126,P1198
Q31,Q13196750,P5658
Q31,127,P4427
Q31,128,P5573
Q31,129,P1417
Q31,130,P4629
Q31,131,P948
Q31,Q7522716,P1740
Q31,132,P2884
Q31,Q390947,P208
Q31,Q130201,P2238
Q31,Q8366417,P1465
Q31,133,P2347
Q31,Q161539,P85
Q31,Q1755321,P209
Q31,Q1230309,P209
Q31,Q1761425,P209
Q31,134,P2250
Q31,135,P1296
Q31,Q215669,P361
Q31,Q458,P361
Q31,Q46,P361
Q31,Q1065,P361
Q31,Q13116,P361
Q31,Q476033,P361
Q31,136,P373
Q31,Q39773,P78
Q31,137,P2046
Q31,Q183,P47
Q31,Q32,P47
Q31,Q142,P47
Q31,Q55,P47
Q31,Q29999,P47
Q31,138,P6150
Q31,Q3624078,P31
Q31,Q322824,P610
Q31,Q7463296,P1464
Q31,139,P2927
Q31,140,P4672
Q31,141,P1813
Q31,Q14565199,P1622
Q31,142,P2982
Q31,143,P1589
Q31,144,P3222
Q31,145,P898
Q31,146,P898
Q31,147,P898
Q31,148,P299
Q31,Q25989,P421
Q31,Q6655,P421
Q31,Q6723,P421
Q31,Q207020,P421
Q31,Q5412099,P421
Q31,149,P269
Q31,150,P5247
Q31,Q9337,P150
Q31,Q240,P150
Q31,Q9331,P150
Q31,Q89959,P150
Q31,Q90027,P150
Q31,Q231,P150
Q31,151,P3024
Q31,152,P474
Q31,153,P646
Q31,154,P3175
Q31,Q337104,P138
Q31,155,P244
Q31,156,P297
Q31,157,P1451
Q31,Q12990,P163
Q31,158,P625
Q31,159,P901
Q31,160,P3509
Q31,Q302556,P1343
Q31,Q2657718,P1343
Q31,Q4114391,P1343
Q31,Q602358,P1343
Q31,Q19211082,P1343
Q31,Q19180675,P1343
Q31,Q4173137,P1343
Q31,Q3181656,P1343
Q31,161,P41
Q31,162,P5982
Q31,163,P5982
Q31,164,P5982
Q31,165,P5140
Q31,Q633629,P92
Q31,166,P5019
Q31,Q14455339,P6104
Q31,167,P1842
Q31,168,P6573
Q31,169,P5250
Q31,170,P4801
Q31,Q234,P527
Q31,Q231,P527
Q31,Q240,P527
Q31,Q9331,P527
Q31,Q89959,P527
Q31,Q90027,P527
Q31,Q685918,P1304
Q31,Q100103,P2936
Q31,Q102172,P2936
Q31,Q2107617,P2936
Q31,Q3217332,P2936
Q31,Q7411,P2936
Q31,Q9051,P2936
Q31,Q188,P2936
Q31,Q150,P2936
Q31,Q34024,P2936
Q31,Q34219,P2936
Q31,Q430018,P2936
Q31,Q671198,P2936
Q31,Q151156,P2936
Q31,Q34147,P2936
Q31,Q1404296,P2936
Q31,Q815549,P2936
Q31,Q2668371,P2936
Q31,Q8641,P2936
Q31,Q33282,P2936
Q31,Q1793299,P2936
Q31,171,P6363
Q31,172,P6897
Q31,173,P5905
Q31,174,P3864
Q31,175,P3864
Q31,176,P3864
Q31,177,P3864
Q31,178,P3864
Q31,179,P6404
Q31,180,P1705
Q31,181,P1705
Q31,182,P1705
Q31,183,P7012
Q31,184,P6766
Q31,185,P5002
Q31,186,P6849
Q31,187,P989
Q31,188,P7471
Q31,189,P1245
Q31,190,P7314
Q31,191,P902
Q31,192,P3067
Q31,Q792363,P2596
Q31,193,P5400
Q31,194,P7870
Q31,Q8607310,P7867
Q31,195,P2855
Q31,196,P7818
Q31,197,P7829
Q31,198,P7827
Q31,199,P7832
Q31,200,P7822
Q31,201,P443
Q31,202,P443
Q31,203,P5437
Q31,204,P7982
Q31,205,P6058
Q31,206,P7859
Q31,207,P7322
Q31,208,P8349
Q31,Q63413946,P8402
Q31,209,P8408
Q31,210,P6385
Q31,211,P8406
Q31,Q15864,P1365
Q31,212,P8519
Q31,213,P5063
Q31,214,P1438
Q31,215,P3749
Q31,216,P6200
Q31,217,P8714
Q31,Q1769535,P8744
Q31,218,P5587
Q31,219,P7157
Q31,220,P8826
Q31,221,P6839
Q31,222,P8309
Q31,223,P4527
Q31,224,P5456
Q31,225,P8974
Q31,226,P9037
Q31,227,P9100
Q31,228,P8814
Q31,229,P9123
Q31,230,P6592
Q31,Q1996422,P9241
Q31,231,P9223
Q31,232,P5739
Q31,233,P9318
Q31,234,P6293
Q31,235,P7850
Q31,236,P7960
Q31,237,P3553
Q31,238,P8217
Q8,239,P1245
Q8,240,P373
Q8,Q331769,P31
Q8,Q60539479,P31
Q8,Q9415,P31
Q8,241,P508
Q8,242,P18
Q8,243,P18
Q8,244,P18
Q8,Q8505256,P910
Q8,245,P349
Q8,246,P646
Q8,247,P1296
Q8,248,P1296
Q8,249,P1296
Q8,250,P1296
Q8,251,P1051
Q8,Q20743760,P1343
Q8,Q1970746,P1343
Q8,Q19180675,P1343
Q8,Q106727050,P1343
Q8,252,P486
Q8,253,P227
Q8,254,P2612
Q8,Q169251,P461
Q8,Q105839683,P461
Q8,255,P1417
Q8,256,P3417
Q8,257,P3827
Q8,258,P244
Q8,259,P268
Q8,260,P3123
Q8,261,P3219
Q8,262,P3984
Q8,263,P5019
Q8,264,P2924
Q8,Q16748867,P279
Q8,265,P3241
Q8,266,P6573
Q8,267,P3235
Q8,268,P443
Q8,Q935526,P460
Q8,Q203994,P460
Q8,269,P4212
Q8,Q77468620,P361
Q8,270,P2572
Q8,271,P6366
Q8,Q487,P1552
Q8,Q1117179,P1552
Q8,272,P2347
Q8,273,P7033
Q8,274,P8408
Q8,275,P6839
Q8,276,P2581
Q8,277,P8885
Q8,278,P8814
Q8,279,P8895
Q8,280,P950
Q8,281,P3553
Q23,Q1347065,P509
Q23,282,P947
Q23,Q731635,P20
Q23,Q191789,P26
Q23,283,P109
Q23,Q768342,P22
Q23,Q458119,P25
Q23,Q161885,P27
Q23,Q30,P27
Q23,Q82955,P106
Q23,Q5138446,P237
Q23,284,P94
Q23,285,P373
Q23,286,P18
Q23,287,P227
Q23,288,P244
Q23,289,P214
Q23,290,P213
Q23,291,P569
Q23,292,P570
Q23,Q3519573,P166
Q23,Q721743,P166
Q23,Q52382875,P166
Q23,Q731635,P119
Q23,Q56546631,P119
Q23,Q11696,P39
Q23,Q1115127,P39
Q23,Q1115127,P39
Q23,Q30461,P39
Q23,Q1467287,P39
Q23,Q3280545,P410
Q23,Q2046665,P410
Q23,Q3100539,P410
Q23,293,P349
Q23,294,P269
Q23,295,P646
Q23,296,P535
Q23,297,P535
Q23,Q15921732,P735
Q23,Q41726,P463
Q23,Q466089,P463
Q23,Q463303,P463
Q23,Q26721351,P463
Q23,Q1632484,P463
Q23,Q54122,P241
Q23,Q9212,P241
Q23,Q40949,P607
Q23,Q1444930,P607
Q23,Q154697,P607
Q23,Q210602,P607
Q23,Q2449358,P607
Q23,Q2630469,P607
Q23,Q2656995,P607
Q23,Q3177722,P607
Q23,Q524828,P607
Q23,Q695485,P607
Q23,Q8055814,P607
Q23,Q8488276,P910
Q23,298,P691
Q23,299,P906
Q23,Q2550388,P734
Q23,300,P1273
Q23,301,P1430
Q23,Q186539,P361
Q23,Q3739104,P1196
Q23,302,P1185
Q23,303,P1711
Q23,304,P1670
Q23,305,P1368
Q23,306,P1695
Q23,307,P1375
Q23,308,P1741
Q23,309,P1263
Q23,310,P1816
Q23,311,P1819
Q23,312,P1248
Q23,313,P1559
Q23,314,P1938
Q23,315,P1442
Q23,Q1860,P103
Q23,316,P1157
Q23,317,P1971
Q23,318,P648
Q23,319,P1003
Q23,320,P1315
Q23,321,P2342
Q23,322,P935
Q23,Q2657718,P1343
Q23,Q17378135,P1343
Q23,Q20078554,P1343
Q23,Q602358,P1343
Q23,Q19180675,P1343
Q23,Q4114391,P1343
Q23,Q67311526,P1343
Q23,Q3181656,P1343
Q23,Q104218168,P1343
Q23,Q106727050,P1343
Q23,323,P2383
Q23,324,P1871
Q23,325,P2163
Q23,326,P950
Q23,327,P2600
Q23,328,P2949
Q23,329,P1266
Q23,330,P2019
Q23,331,P1899
Q23,332,P2924
Q23,Q682443,P140
Q23,333,P3222
Q23,Q850421,P3373
Q23,Q7412891,P3373
Q23,Q6219733,P3373
Q23,Q5083373,P3373
Q23,Q75764188,P3373
Q23,Q75764192,P3373
Q23,Q969817,P3373
Q23,Q4821226,P3373
Q23,Q75764198,P3373
Q23,334,P3417
Q23,335,P3430
Q23,Q1345,P551
Q23,Q494413,P551
Q23,Q60,P551
Q23,Q731635,P551
Q23,336,P949
Q23,Q1860,P1412
Q23,337,P3762
Q23,338,P3429
Q23,339,P4145
Q23,340,P4159
Q23,Q327591,P102
Q23,341,P1417
Q23,342,P4293
Q23,Q21004273,P1038
Q23,Q1701323,P1038
Q23,Q1508559,P1038
Q23,343,P3219
Q23,344,P1415
Q23,345,P4629
Q23,346,P1472
Q23,347,P1225
Q23,348,P4602
Q23,349,P1015
Q23,350,P1280
Q23,351,P3154
Q23,352,P4839
Q23,353,P4389
Q23,354,P2048
Q23,355,P2048
Q23,356,P4638
Q23,357,P651
Q23,358,P4823
Q23,359,P5019
Q23,Q5460604,P5008
Q23,Q104694359,P5008
Q23,360,P3029
Q23,361,P1617
Q23,362,P4081
Q23,363,P268
Q23,364,P1017
Q23,365,P1006
Q23,366,P5618
Q23,367,P4491
Q23,368,P2966
Q23,369,P2966
Q23,370,P2977
Q23,371,P3051
Q23,372,P5587
Q23,373,P3569
Q23,374,P5981
Q23,375,P4342
Q23,376,P1296
Q23,377,P245
Q23,Q6581097,P21
Q23,378,P409
Q23,379,P1005
Q23,380,P1207
Q23,Q19568889,P1830
Q23,Q48895080,P1830
Q23,Q1647292,P1830
Q23,Q731635,P1830
Q23,381,P6262
Q23,382,P5247
Q23,383,P5905
Q23,384,P6573
Q23,385,P4359
Q23,386,P6656
Q23,Q5,P31
Q23,387,P3365
Q23,388,P4223
Q23,389,P6404
Q23,Q19568889,P3091
Q23,Q6990337,P3091
Q23,390,P6844
Q23,Q1860,P6886
Q23,391,P3065
Q23,392,P271
Q23,393,P6394
Q23,394,P3280
Q23,395,P7026
Q23,396,P5504
Q23,397,P5034
Q23,398,P3788
Q23,399,P1890
Q23,400,P4619
Q23,Q14708020,P485
Q23,401,P1449
Q23,402,P989
Q23,403,P7128
Q23,404,P5739
Q23,405,P6058
Q23,406,P7818
Q23,L485,P6553
Q23,407,P7952
Q23,408,P7029
Q23,409,P7369
Q23,410,P7699
Q23,411,P7293
Q23,412,P7902
Q23,413,P1213
Q23,414,P7969
Q23,415,P7859
Q23,416,P1580
Q23,417,P8195
Q23,418,P2031
Q23,Q494413,P19
Q23,419,P1309
Q23,Q129104,P1050
Q23,Q3579096,P1050
Q23,420,P8408
Q23,421,P8034
Q23,422,P8462
Q23,Q698073,P3602
Q23,Q697949,P3602
Q23,423,P4457
Q23,424,P5063
Q23,425,P4539
Q23,426,P8179
Q23,427,P3348
Q23,428,P8189
Q23,429,P8568
Q23,430,P3388
Q23,431,P7982
Q23,432,P5421
Q23,433,P270
Q23,434,P8094
Q23,435,P7929
Q23,436,P8520
Q23,437,P8750
Q23,438,P2581
Q23,439,P6900
Q23,440,P3553
Q23,441,P5184
Q23,442,P7506
Q23,443,P5337
Q23,444,P7157
Q23,445,P8795
Q23,446,P8826
Q23,447,P6839
Q23,448,P6683
Q23,449,P5271
Q23,450,P2889
Q23,451,P9037
Q23,Q71887839,P7763
Q23,452,P7700
Q23,453,P9081
Q23,Q47414451,P1299
Q23,454,P8814
Q23,455,P8895
Q23,456,P8902
Q23,Q96414308,P53
Q23,457,P8168
Q23,458,P7666
Q23,459,P9495
Q23,460,P9371
Q24,Q15632617,P31
Q24,Q15773317,P31
Q24,Q1049347,P40
Q24,Q30,P27
Q24,Q1965022,P734
Q24,Q1159009,P735
Q24,Q2944031,P108
Q24,Q214126,P108
Q24,Q37230,P108
Q24,Q209114,P463
Q24,Q324563,P463
Q24,461,P569
Q24,Q174710,P69
Q24,Q168756,P69
Q24,Q14319576,P69
Q24,Q284262,P451
Q24,Q781068,P451
Q24,Q47164,P19
Q24,Q3322144,P22
Q24,Q852071,P166
Q24,Q145752,P166
Q24,Q724443,P166
Q24,Q19100,P410
Q24,Q1095612,P26
Q24,Q1765120,P512
Q24,Q950900,P512
Q24,Q5446967,P106
Q24,Q4991371,P106
Q24,Q20085850,P106
Q24,Q6581097,P21
Q24,462,P646
Q24,463,P18
Q24,Q56194,P1441
Q24,464,P1448
Q24,Q10290844,P3373
Q24,465,P140
Q24,466,P3417
Q24,467,P4839
Q24,Q103946,P175
Q24,Q1860,P1412
Q24,468,P1417
Q24,Q215972,P5800
Q24,469,P6262
Q24,470,P570
Q24,Q7283,P7047
Q24,471,P7704
Q24,472,P6839
Q24,473,P2581
Q24,474,P8895
Q42,Q5,P31
Q42,Q6581097,P21
Q42,Q214917,P106
Q42,Q28389,P106
Q42,Q6625963,P106
Q42,Q4853732,P106
Q42,Q18844224,P106
Q42,Q245068,P106
Q42,Q36180,P106
Q42,Q25169,P800
Q42,Q20736364,P800
Q42,Q7758404,P800
Q42,475,P569
Q42,Q350,P19
Q42,476,P570
Q42,Q3739104,P1196
Q42,Q12152,P509
Q42,Q159288,P20
Q42,Q533697,P119
Q42,477,P1442
Q42,478,P1015
Q42,Q463035,P735
Q42,Q351735,P734
Q42,479,P1559
Q42,480,P18
Q42,Q145,P27
Q42,Q84,P551
Q42,Q909993,P551
Q42,Q1860,P103
Q42,481,P1477
Q42,482,P1368
Q42,483,P244
Q42,484,P947
Q42,485,P214
Q42,486,P345
Q42,487,P373
Q42,488,P349
Q42,489,P434
Q42,490,P268
Q42,491,P227
Q42,492,P535
Q42,Q14623675,P22
Q42,Q14623678,P25
Q42,Q14623683,P40
Q42,493,P906
Q42,494,P1006
Q42,495,P949
Q42,496,P646
Q42,Q691283,P69
Q42,Q4961791,P69
Q42,497,P1273
Q42,Q9531,P108
Q42,Q3520623,P108
Q42,498,P998
Q42,499,P1233
Q42,500,P1284
Q42,501,P866
Q42,502,P1695
Q42,503,P1816
Q42,504,P1263
Q42,505,P271
Q42,506,P856
Q42,Q3414212,P1411
Q42,Q2576795,P1411
Q42,507,P1953
Q42,508,P648
Q42,509,P1258
Q42,510,P2191
Q42,511,P1266
Q42,512,P2019
Q42,513,P2188
Q42,514,P2168
Q42,515,P1315
Q42,516,P2163
Q42,517,P1417
Q42,518,P2611
Q42,519,P2435
Q42,520,P2604
Q42,521,P2387
Q42,522,P2626
Q42,523,P2605
Q42,524,P2963
Q42,Q8935487,P910
Q42,525,P3106
Q42,Q6607,P1303
Q42,526,P2469
Q42,Q14623673,P3373
Q42,527,P3417
Q42,528,P3430
Q42,529,P1617
Q42,530,P2048
Q42,531,P3222
Q42,532,P109
Q42,533,P4193
Q42,Q24925,P136
Q42,Q40831,P136
Q42,Q128758,P136
Q42,534,P4431
Q42,535,P2607
Q42,536,P1415
Q42,537,P2949
Q42,538,P3154
Q42,539,P3630
Q42,540,P1280
Q42,541,P2734
Q42,Q14623681,P26
Q42,542,P5019
Q42,Q857679,P463
Q42,Q5610831,P463
Q42,543,P2600
Q42,544,P5337
Q42,545,P5357
Q42,546,P5361
Q42,547,P5365
Q42,548,P5408
Q42,549,P5570
Q42,550,P1580
Q42,551,P5587
Q42,552,P3365
Q42,553,P269
Q42,554,P213
Q42,555,P691
Q42,556,P950
Q42,557,P1670
Q42,558,P409
Q42,559,P396
Q42,560,P1207
Q42,561,P1005
Q42,562,P1375
Q42,Q1860,P1412
Q42,563,P5247
Q42,564,P5905
Q42,565,P6839
Q42,566,P4342
Q42,567,P4785
Q42,Q662893,P2650
Q42,Q67074906,P485
Q42,568,P7029
Q42,569,P7029
Q42,Q67311526,P1343
Q42,570,P5034
Q42,571,P7433
Q42,572,P7400
Q42,573,P7704
Q42,574,P7859
Q42,575,P3762
Q42,576,P3065
Q42,577,P3846
Q42,578,P7293
Q42,579,P7700
Q42,580,P1890
Q42,581,P4619
Q42,582,P6394
Q42,583,P4839
Q42,584,P2581
Q42,585,P5284
Q42,586,P4862
Q42,587,P7661
Q42,588,P3913
Q42,589,P7214
Q42,590,P4666
Q42,591,P7215
Q42,592,P5233
Q42,593,P5033
Q42,594,P3305
Q42,595,P7745
Q42,596,P6464
Q42,597,P7300
Q42,598,P4657
Q42,599,P5534
Q42,600,P4985
Q42,601,P3845
Q42,602,P2638
Q42,603,P1712
Q42,604,P6119
Q42,605,P5340
Q42,606,P4438
Q42,607,P4326
Q42,608,P4768
Q42,609,P3142
Q42,610,P3136
Q42,611,P4782
Q42,612,P3145
Q42,613,P5882
Q42,614,P6327
Q42,615,P6517
Q42,616,P1728
Q42,617,P7195
Q42,618,P2722
Q42,619,P2373
Q42,620,P6351
Q42,621,P2850
Q42,622,P3192
Q42,623,P6874
Q42,624,P5404
Q42,625,P1828
Q42,626,P7154
Q42,627,P4198
Q42,628,P6972
Q42,629,P7071
Q42,630,P3479
Q42,631,P7284
Q42,632,P6620
Q42,633,P4204
Q42,634,P7506
Q42,635,P3341
Q42,636,P7803
Q42,637,P3388
Q42,638,P2087
Q42,639,P7369
Q42,640,P6298
Q42,641,P2889
Q42,Q1860,P6886
Q42,Q22898962,P1424
Q42,642,P7902
Q42,643,P8179
Q42,644,P3348
Q42,645,P8189
Q42,646,P7699
Q42,647,P3984
Q42,648,P8287
Q42,649,P8125
Q42,650,P4359
Q42,651,P8408
Q42,652,P6262
Q42,653,P6262
Q42,654,P6262
Q42,655,P6262
Q42,656,P6262
Q42,657,P6262
Q42,658,P6262
Q42,659,P6262
Q42,660,P6262
Q42,661,P4789
Q42,662,P6868
Q42,663,P8849
Q42,664,P8851
Q42,665,P5297
Q42,666,P8895
Q42,Q73555012,P7763
Q42,Q21454969,P1889
Q42,Q7994501,P172
Q42,Q84,P937
Q42,667,P742
Q42,668,P8385
Q42,669,P9100
Q42,670,P9196
Q42,671,P9251
Q42,672,P9307
Q42,Q17122705,P1340
Q42,Q24925,P101
Q1868,Q18375245,P734
Q1868,Q36180,P106
Q1868,Q40348,P106
Q1868,Q182436,P106
Q1868,Q1265807,P106
Q1868,Q205375,P106
Q1868,Q10429346,P106
Q1868,Q185351,P106
Q1868,Q95153477,P119
Q1868,Q3579983,P22
Q1868,Q239,P19
Q1868,Q9005,P20
Q1868,Q31,P27
Q1868,673,P214
Q1868,674,P244
Q1868,675,P227
Q1868,676,P268
Q1868,677,P269
Q1868,678,P349
Q1868,679,P213
Q1868,680,P373
Q1868,681,P569
Q1868,682,P570
Q1868,Q4925623,P735
Q1868,Q5,P31
Q1868,683,P646
Q1868,Q574606,P69
Q1868,Q20754971,P69
